what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.5.0_20",1275421422873
java.vm.info,sysinfo,,,"mixed mode",1275421422873
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275421422873
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275421422873
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275421422873
java.vm.specification.version,sysinfo,,,"1.0",1275421422873
java.vm.vendor,sysinfo,,,"Apple Inc.",1275421422873
java.vm.version,sysinfo,,,"1.5.0_20-141",1275421422873
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421490635
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421502678
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421536064
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1275421536091
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421546005
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421553470
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275421553590
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1275421553863
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1275421553864
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1275421553864
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1275421553865
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1275421553865
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1275421553866
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1275421553867
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1275421553867
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1275421553868
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.408.v200904211646,"org.eclipse.jst.ws.creation.ui",1275421553868
